entrez	gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
4355	MPP2	-0.0945777777777791	6.900551428571428	-1.0595774388823698	0.31586514033308855	0.628040104667047	-6.4347499599561715
67503	1700001G17Rik	0.11905436507936425	6.4052188435374156	1.0595329829716655	0.31588434912607677	0.6280506096779751	-6.4347961026511316
116729	PPP1R27	-0.1357975992063492	4.209604387755102	-1.0591852321720534	0.31603463836350537	0.62813551586658245	-6.435156995712351
74729	Setmar	-0.16802105158730393	7.626284319727891	-1.0591246783915709	0.31606081379379114	0.62813551586658245	-6.435219828452985
54813	KLHL28	0.0845813095238067	9.790188843537415	1.0586427593281031	0.31626919088907846	0.6283448649085206	-6.435719784225454
163590	TOR1AIP2	0.1306052380952391	7.5000639455782325	1.0582423370060299	0.3164424095421896	0.6285754314052764	-6.436135057290491
2980	GUCA2A	0.13390226190475985	5.432079149659864	1.0581783427476625	0.316470099538331	0.6285754314052764	-6.436201413522934
157657	C8orf37	-0.08575805555555574	9.468745714285715	-1.0581372775074829	0.3164878692392158	0.6285754314052764	-6.436243992787668
9868	TOMM70	0.16988154761904647	9.318123741496597	1.058084571852017	0.31651067708507186	0.6285754314052764	-6.436298639735068
381438	Gm5148	0.09394490079365017	3.0632396258503403	1.0580146414710194	0.31654094069988553	0.6286078537495283	-6.436371142543635
57590	WDFY1	-0.08102853174603197	9.282862585034016	-1.0576716115016562	0.3166894250775878	0.6288423554850762	-6.436726736583642
3831	KLC1	-0.11124250000000227	6.826694761904762	-1.0575177441205046	0.31675604560960385	0.6288965668708727	-6.436886210220276
51333	ZNF771	0.07502567460317412	8.809548639455782	1.057368956537944	0.31682047691631937	0.6289226632031889	-6.437040401650819
389541	LAMTOR4	-0.08619440476190493	10.462262721088436	-1.05735858505274	0.31682496858110576	0.6289226632031889	-6.437051149185197
8787	RGS9	-0.0880851587301607	8.353963401360543	-1.05724903636832	0.3168724147090437	0.6289614811985116	-6.437164664830386
12623	Ces1g	0.15165865079365118	3.852868911564626	1.05712755189998	0.31692503664376687	0.6289905645886847	-6.437290537678086
7046	TGFBR1	-0.07409015873016159	11.720071020408163	-1.0570677980160572	0.3169509219514448	0.6289905645886847	-6.437352445882744
