Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_0930	binding	emsa	cell_line
exp_0932	binding	chip	not_applicable
exp_0933	binding	chip	not_applicable
exp_0934	binding	emsa	unknown
exp_0937	binding	chip	not_applicable
exp_0938	binding	emsa	primary_tissue
exp_0940	binding	chip	not_applicable
exp_0943	binding	chip	not_applicable
exp_0944	binding	chip	not_applicable
exp_0945	binding	emsa	unknown
exp_0946	binding	emsa	unknown
exp_0949	binding	chip	not_applicable
exp_0952	binding	chip	not_applicable
exp_0953	binding	chip	not_applicable
exp_0954	binding	emsa	cell_line
exp_0959	binding	chip	not_applicable
exp_0960	binding	emsa	cell_line
exp_0963	binding	chip	not_applicable
exp_0965	binding	chip	not_applicable
exp_0966	binding	emsa	primary_cell
exp_0975	binding	chip	not_applicable
exp_0976	binding	emsa	unknown
exp_0979	binding	chip	not_applicable
exp_0987	binding	chip	not_applicable
exp_0990	binding	chip	not_applicable
exp_0992	binding	chip	not_applicable
exp_0993	binding	emsa	cell_line
exp_0999	binding	emsa	cell_line
exp_1000	binding	chip	not_applicable
exp_1002	binding	chip	not_applicable
exp_1003	binding	chip	not_applicable
exp_1006	binding	chip	not_applicable
exp_1009	binding	chip	not_applicable
exp_1012	binding	chip	not_applicable
exp_1015	binding	chip	not_applicable
exp_1018	binding	chip	not_applicable
exp_1021	binding	chip	not_applicable
exp_1024	binding	chip	not_applicable
exp_1027	binding	chip	not_applicable
exp_1028	binding	emsa	unknown
exp_1031	binding	emsa	cell_line
exp_1032	binding	emsa	cell_line
exp_1036	binding	chip	not_applicable
exp_1040	binding	chip	not_applicable
exp_1041	binding	emsa	unknown
exp_1044	binding	chip	not_applicable
exp_1045	binding	emsa	cell_line
exp_1047	binding	chip	not_applicable
exp_1048	binding	emsa	cell_line
exp_1050	binding	chip	not_applicable
exp_1051	binding	chip	not_applicable
exp_1052	binding	emsa	unknown
exp_1053	binding	emsa	unknown
exp_1057	binding	chip	not_applicable
exp_1060	binding	chip	not_applicable
exp_1061	binding	emsa	cell_line
exp_1066	binding	chip	not_applicable
exp_1071	binding	chip	not_applicable
exp_1072	binding	emsa	unknown
exp_1078	binding	chip	not_applicable
exp_1079	binding	emsa	unknown
exp_1080	binding	chip	not_applicable
exp_1081	binding	emsa	cell_line
exp_1086	binding	chip	not_applicable
