TF_Symbol	TF_Entrez_ID	PubMed_ID	Database	Status
DLX5	1749	24692107	PubMedQuery	curated
DLX5	1749	21325536	PubMedQuery	curated
DLX5	1749	20843790	PubMedQuery	curated
DLX5	1749	18056716	PubMedQuery	curated
DLX5	1749	16115867	PubMedQuery	curated
DLX5	1749	16115867	TFactS	curated
DLX5	1749	15383550	TRRUST	curated
DLX5	1749	12815054	TRRUST	curated
DLX5	1749	16115867	TRRUST	curated
DLX5	1749	21187071	TRRUST	curated
DLX5	1749	24355298	TRRUST	curated
DLX5	1749	18697905	TRRUST	curated
DLX5	1749	16000302	TRRUST	curated
DLX5	1749	18056716	TRRUST	curated
DLX5	1749	19497851	TRRUST	curated
DLX5	1749	21325536	TRRUST	curated
DLX5	1749	20843790	TRRUST	curated
DMTF1	9988	19816943	InnateDB	curated
DMTF1	9988	19816943	PubMedQuery	curated
DMTF1	9988	19816943	TRRUST	curated
E2F1	1869	18381203	CytReg	curated
E2F1	1869	19015243	HTRIdb_LC	curated
E2F1	1869	19303924	HTRIdb_LC	curated
E2F1	1869	12149244	HTRIdb_LC	curated
E2F1	1869	16512785	HTRIdb_LC	curated
E2F1	1869	17106239	HTRIdb_LC	curated
E2F1	1869	18381203	HTRIdb_LC	curated
E2F1	1869	20976175	InnateDB	curated
E2F1	1869	23829315	PubMedQuery	curated
E2F1	1869	22911364	PubMedQuery	curated
E2F1	1869	22880102	PubMedQuery	curated
E2F1	1869	22389255	PubMedQuery	curated
E2F1	1869	21453717	PubMedQuery	curated
E2F1	1869	21225257	PubMedQuery	curated
E2F1	1869	20976175	PubMedQuery	curated
E2F1	1869	19837943	PubMedQuery	curated
E2F1	1869	19303924	PubMedQuery	curated
E2F1	1869	19015243	PubMedQuery	curated
E2F1	1869	18381203	PubMedQuery	curated
E2F1	1869	18347061	PubMedQuery	curated
E2F1	1869	17825503	PubMedQuery	curated
E2F1	1869	17178835	PubMedQuery	curated
E2F1	1869	16741925	PubMedQuery	curated
E2F1	1869	16512785	PubMedQuery	curated
E2F1	1869	16331253	PubMedQuery	curated
E2F1	1869	12444919	PubMedQuery	curated
E2F1	1869	11896585	PubMedQuery	curated
E2F1	1869	11857079	PubMedQuery	curated
E2F1	1869	20664976	PubMedQuery	curated
E2F1	1869	12149244	TFactS	curated
E2F1	1869	10660629	TFactS	curated
E2F1	1869	17106239	TFactS	curated
E2F1	1869	15867357	TFactS	curated
E2F1	1869	17575144	TFactS	curated
E2F1	1869	12444919	TFactS	curated
E2F1	1869	11857079	TFactS	curated
E2F1	1869	11896585	TFactS	curated
E2F1	1869	17178835	TFactS	curated
E2F1	1869	16741925	TFactS	curated
E2F1	1869	16738312	TFactS	curated
E2F1	1869	19015243	TFactS	curated
E2F1	1869	19303924	TFactS	curated
E2F1	1869	21453717	TFactS	curated
E2F1	1869	21225257	TFactS	curated
E2F1	1869	16512785	TFactS	curated
E2F1	1869	12527885	TFactS	curated
E2F1	1869	17825503	TFactS	curated
E2F1	1869	20976175	TFactS	curated
E2F1	1869	18381203	TFactS	curated
E2F1	1869	19837943	TFactS	curated
E2F1	1869	12527885	TRRUST	curated
E2F1	1869	15240700	TRRUST	curated
E2F1	1869	9584162	TRRUST	curated
E2F1	1869	15867357	TRRUST	curated
E2F1	1869	22389255	TRRUST	curated
E2F1	1869	12444919	TRRUST	curated
E2F1	1869	11857079	TRRUST	curated
E2F1	1869	17178835	TRRUST	curated
E2F1	1869	16741925	TRRUST	curated
E2F1	1869	16738312	TRRUST	curated
E2F1	1869	18347061	TRRUST	curated
E2F1	1869	19303924	TRRUST	curated
E2F1	1869	22880102	TRRUST	curated
E2F1	1869	12149244	TRRUST	curated
E2F1	1869	21225257	TRRUST	curated
E2F1	1869	16512785	TRRUST	curated
E2F1	1869	23829315	TRRUST	curated
E2F1	1869	17825503	TRRUST	curated
E2F1	1869	20976175	TRRUST	curated
E2F1	1869	18381203	TRRUST	curated
E2F3	1871	12527885	PubMedQuery	curated
E2F4	1874	16738312	TRRUST	curated
EGR1	1958	11997234	CytReg	curated
EGR1	1958	18506761	HTRIdb_LC	curated
EGR1	1958	15545275	InnateDB	curated
EGR1	1958	15225550	InnateDB	curated
EGR1	1958	18506761	InnateDB	curated
EGR1	1958	19137013	InnateDB	curated
EGR1	1958	26471974	PubMedQuery	curated
EGR1	1958	23816566	PubMedQuery	curated
EGR1	1958	22431737	PubMedQuery	curated
EGR1	1958	22095683	PubMedQuery	curated
EGR1	1958	20123987	PubMedQuery	curated
EGR1	1958	20054233	PubMedQuery	curated
EGR1	1958	19616057	PubMedQuery	curated
EGR1	1958	19526316	PubMedQuery	curated
EGR1	1958	19137013	PubMedQuery	curated
EGR1	1958	18556777	PubMedQuery	curated
EGR1	1958	18506761	PubMedQuery	curated
EGR1	1958	18027854	PubMedQuery	curated
EGR1	1958	17631285	PubMedQuery	curated
EGR1	1958	16995904	PubMedQuery	curated
EGR1	1958	16093249	PubMedQuery	curated
EGR1	1958	15545275	PubMedQuery	curated
EGR1	1958	12483323	PubMedQuery	curated
EGR1	1958	12237943	PubMedQuery	curated
EGR1	1958	19767411	TRRUST	curated
EGR1	1958	19137013	TRRUST	curated
EGR1	1958	16908043	TRRUST	curated
EGR1	1958	7798257	TRRUST	curated
EGR1	1958	15545275	TRRUST	curated
EGR1	1958	15225550	TRRUST	curated
EGR1	1958	24695083	TRRUST	curated
EGR1	1958	20671239	TRRUST	curated
EGR1	1958	22508984	TRRUST	curated
EGR1	1958	18556777	TRRUST	curated
EGR1	1958	20123987	TRRUST	curated
EGR1	1958	12237943	TRRUST	curated
EGR1	1958	11997234	TRRUST	curated
EGR1	1958	22431737	TRRUST	curated
EGR1	1958	18506761	TRRUST	curated
EGR1	1958	20054233	TRRUST	curated
EGR4	1961	25411851	PubMedQuery	curated
ELK1	2002	15542842	PubMedQuery	curated
ELK1	2002	20137095	PubMedQuery	curated
EOMES	8320	22735158	TRRUST	curated
EP300	2033	18056716	PubMedQuery	curated
EP300	2033	20383141	PubMedQuery	curated
EP300	2033	22252296	PubMedQuery	curated
EPAS1	2034	23395615	PubMedQuery	curated
EPAS1	2034	26837221	PubMedQuery	curated
ERG	2078	23913826	PubMedQuery	curated
ESR1	2099	21835891	PubMedQuery	curated
ESRRB	2103	23169531	PubMedQuery	curated
ETS1	2113	25265064	PubMedQuery	curated
ETS1	2113	17101802	TRRUST	curated
ETV1	2115	22735158	PubMedQuery	curated
ETV4	2118	26656997	PubMedQuery	curated
EWSR1	2130	15917470	PubMedQuery	curated
EYA1	2138	25816987	PubMedQuery	curated
EZH2	2146	21685935	TRRUST	curated
FEZF1	389549	20431123	PubMedQuery	curated
FEZF1	389549	29318501	PubMedQuery	curated
FEZF2	55079	20431123	PubMedQuery	curated
FGF19	9965	26311466	PubMedQuery	curated
FMR1	2332	27664080	PubMedQuery	curated
FOSB	2354	21835891	PubMedQuery	curated
FOXA1	3169	25804738	ENdb	curated
FOXA1	3169	18336786	PubMedQuery	curated
FOXA2	3170	25804738	ENdb	curated
FOXA2	3170	28272906	PubMedQuery	curated
FOXA2	3170	26093302	PubMedQuery	curated
FOXA2	3170	25921584	PubMedQuery	curated
FOXA2	3170	25667220	PubMedQuery	curated
FOXA2	3170	23275033	PubMedQuery	curated
FOXA2	3170	23236509	PubMedQuery	curated
FOXA2	3170	23236435	PubMedQuery	curated
FOXA2	3170	20382118	PubMedQuery	curated
FOXA2	3170	18336786	PubMedQuery	curated
FOXA2	3170	16467259	PubMedQuery	curated
FOXA2	3170	11914369	PubMedQuery	curated
FOXA2	3170	15314688	TFe	curated
FOXA2	3170	8943227	TFe	curated
FOXA2	3170	12052878	TFe	curated
FOXA2	3170	10767553	TFe	curated
FOXA2	3170	23254923	TRRUST	curated
FOXA2	3170	23275033	TRRUST	curated
FOXA2	3170	16467259	TRRUST	curated
FOXA2	3170	18753309	TRRUST	curated
FOXA2	3170	21093585	TRRUST	curated
FOXA2	3170	15314688	TRRUST	curated
FOXA2	3170	10767553	TRRUST	curated
FOXA2	3170	12642491	TRRUST	curated
FOXA2	3170	10652343	TRRUST	curated
FOXA2	3170	12052878	TRRUST	curated
FOXA2	3170	16410542	TRRUST	curated
FOXA2	3170	11914369	TRRUST	curated
FOXA2	3170	23236509	TRRUST	curated
FOXA2	3170	20382118	TRRUST	curated
FOXA3	3171	25225406	PubMedQuery	curated
FOXG1	2290	30392794	PubMedQuery	curated
FOXN4	121643	24257627	ENdb	curated
FOXN4	121643	24257627	TRRUST	curated
FOXO1	2308	19026986	CytReg	curated
FOXO1	2308	25918228	CytReg	curated
FOXO1	2308	24291305	InnateDB	curated
FOXO1	2308	29339772	PubMedQuery	curated
FOXO1	2308	25918228	PubMedQuery	curated
FOXO1	2308	24291305	PubMedQuery	curated
FOXO1	2308	23002242	PubMedQuery	curated
FOXO1	2308	22810813	PubMedQuery	curated
FOXO1	2308	21655267	PubMedQuery	curated
FOXO1	2308	21081708	PubMedQuery	curated
FOXO1	2308	20868688	PubMedQuery	curated
FOXO1	2308	20088826	PubMedQuery	curated
FOXO1	2308	19026986	PubMedQuery	curated
FOXO1	2308	18789331	PubMedQuery	curated
FOXO1	2308	18390843	PubMedQuery	curated
FOXO1	2308	17090532	TFactS	curated
FOXO1	2308	20868688	TFactS	curated
FOXO1	2308	19026986	TFe	curated
FOXO1	2308	18390843	TFe	curated
FOXO1	2308	18604199	TFe	curated
FOXO1	2308	23002242	TRRUST	curated
FOXO1	2308	19887561	TRRUST	curated
FOXO1	2308	21655267	TRRUST	curated
FOXO1	2308	17090532	TRRUST	curated
FOXO1	2308	15546000	TRRUST	curated
FOXO1	2308	23918930	TRRUST	curated
FOXO1	2308	12556524	TRRUST	curated
FOXO1	2308	19026986	TRRUST	curated
FOXO1	2308	20868688	TRRUST	curated
FOXO1	2308	18789331	TRRUST	curated
FOXP1	27086	21655267	PubMedQuery	curated
FOXP1	27086	21655267	TRRUST	curated
GATA1	2623	15494506	CytReg	curated
GATA1	2623	19212333	HTRIdb_LC	curated
GATA1	2623	24639354	InnateDB	curated
GATA1	2623	24639354	PubMedQuery	curated
GATA1	2623	21689417	PubMedQuery	curated
GATA1	2623	19212333	PubMedQuery	curated
GATA1	2623	15494506	PubMedQuery	curated
GATA1	2623	17226765	PubMedQuery	curated
GATA1	2623	21689417	TRRUST	curated
GATA1	2623	24639354	TRRUST	curated
GATA1	2623	19212333	TRRUST	curated
GATA2	2624	15494506	CytReg	curated
GATA2	2624	20156195	HTRIdb_LC	curated
GATA2	2624	19522008	HTRIdb_LC	curated
GATA2	2624	19279013	HTRIdb_LC	curated
GATA2	2624	19212333	HTRIdb_LC	curated
GATA2	2624	24639354	InnateDB	curated
GATA2	2624	27528231	PubMedQuery	curated
GATA2	2624	26660446	PubMedQuery	curated
GATA2	2624	26571013	PubMedQuery	curated
GATA2	2624	24639354	PubMedQuery	curated
GATA2	2624	22178888	PubMedQuery	curated
GATA2	2624	20833840	PubMedQuery	curated
GATA2	2624	20206639	PubMedQuery	curated
GATA2	2624	20156195	PubMedQuery	curated
GATA2	2624	19995889	PubMedQuery	curated
GATA2	2624	19522008	PubMedQuery	curated
GATA2	2624	19279013	PubMedQuery	curated
GATA2	2624	19212333	PubMedQuery	curated
GATA2	2624	19103719	PubMedQuery	curated
GATA2	2624	17679089	PubMedQuery	curated
GATA2	2624	17244762	PubMedQuery	curated
GATA2	2624	15494506	PubMedQuery	curated
GATA2	2624	17244762	TRRUST	curated
GATA2	2624	24639354	TRRUST	curated
GATA2	2624	19279013	TRRUST	curated
GATA2	2624	19212333	TRRUST	curated
GATA4	2626	22303449	ENdb	curated
GATA4	2626	25091331	PubMedQuery	curated
GATA4	2626	22303449	PubMedQuery	curated
GATA4	2626	19995889	PubMedQuery	curated
GATA4	2626	18336786	PubMedQuery	curated
GATA4	2626	15253934	PubMedQuery	curated
GATA4	2626	23307821	PubMedQuery	curated
GATA4	2626	17226765	PubMedQuery	curated
GATA4	2626	12530967	PubMedQuery	curated
GATA4	2626	10767553	TRRUST	curated
GATA4	2626	22303449	TRRUST	curated
GATA6	2627	16407417	PubMedQuery	curated
GATA6	2627	11914369	PubMedQuery	curated
GATA6	2627	17226765	PubMedQuery	curated
GATA6	2627	16407417	TRRUST	curated
GATA6	2627	11914369	TRRUST	curated
GFI1B	8328	21261500	PubMedQuery	curated
GFI1B	8328	21261500	TRRUST	curated
GLI1	2735	28035348	PubMedQuery	curated
GLI1	2735	27157540	PubMedQuery	curated
GLI1	2735	26815504	PubMedQuery	curated
GLI1	2735	24886827	PubMedQuery	curated
GLI1	2735	24086482	PubMedQuery	curated
GLI1	2735	21494603	PubMedQuery	curated
GLI1	2735	21076395	PubMedQuery	curated
GLI1	2735	19556240	PubMedQuery	curated
GLI1	2735	17409199	PubMedQuery	curated
GLI1	2735	15087129	PubMedQuery	curated
GLI1	2735	14555646	TFactS	curated
GLI1	2735	12183437	TFactS	curated
GLI1	2735	9118802	TFactS	curated
GLI1	2735	15087129	TFactS	curated
GLI1	2735	23383321	TRRUST	curated
GLI1	2735	12183437	TRRUST	curated
GLI1	2735	23313125	TRRUST	curated
GLI1	2735	18231642	TRRUST	curated
GLI1	2735	24886827	TRRUST	curated
GLI1	2735	14555646	TRRUST	curated
GLI1	2735	17409199	TRRUST	curated
GLI2	2736	21483830	InnateDB	curated
GLI2	2736	28035348	PubMedQuery	curated
GLI2	2736	24086482	PubMedQuery	curated
GLI2	2736	21559470	PubMedQuery	curated
GLI2	2736	21483830	PubMedQuery	curated
GLI2	2736	15614767	PubMedQuery	curated
GLI2	2736	23110168	PubMedQuery	curated
GLI2	2736	17026983	PubMedQuery	curated
GLI2	2736	16571352	TRRUST	curated
GLI2	2736	21559470	TRRUST	curated
GLI3	2737	20562908	HTRIdb_LC	curated
GLI3	2737	19667090	PubMedQuery	curated
GLI3	2737	14723851	PubMedQuery	curated
GLI3	2737	24276242	PubMedQuery	curated
GLI3	2737	28533268	PubMedQuery	curated
GLI3	2737	22465667	PubMedQuery	curated
GLI3	2737	30093555	PubMedQuery	curated
GLI3	2737	21452227	PubMedQuery	curated
GLI3	2737	29415007	PubMedQuery	curated
GLI3	2737	11850405	PubMedQuery	curated
GLI3	2737	10075717	TFactS	curated
GLI3	2737	16571352	TRRUST	curated
GLI3	2737	9152009	TRRUST	curated
GLI3	2737	19877269	TRRUST	curated
GRHL2	79977	22955271	PubMedQuery	curated
H19	283120	23743205	PubMedQuery	curated
H19	283120	23406902	PubMedQuery	curated
H3F3A	3020	28524856	PubMedQuery	curated
H3F3B	3021	28524856	PubMedQuery	curated
HAND2	9464	11850405	PubMedQuery	curated
HES1	3280	22705236	InnateDB	curated
HES1	3280	25107895	PubMedQuery	curated
HES1	3280	22705236	PubMedQuery	curated
HES1	3280	22411914	PubMedQuery	curated
HES1	3280	21987298	PubMedQuery	curated
HES1	3280	20208568	PubMedQuery	curated
HES1	3280	15467735	PubMedQuery	curated
HES1	3280	11855828	PubMedQuery	curated
HES1	3280	18344989	PubMedQuery	curated
HES1	3280	19109490	PubMedQuery	curated
HES1	3280	22718343	PubMedQuery	curated
HES1	3280	25005473	PubMedQuery	curated
HES1	3280	25344626	PubMedQuery	curated
HES1	3280	25733872	PubMedQuery	curated
HES1	3280	28464285	PubMedQuery	curated
HES1	3280	25534236	PubMedQuery	curated
HES1	3280	25234168	PubMedQuery	curated
HES1	3280	25784680	PubMedQuery	curated
HES1	3280	27322654	PubMedQuery	curated
HES1	3280	24402046	PubMedQuery	curated
HES1	3280	15467735	TFactS	curated
HES1	3280	15870295	TRRUST	curated
HES1	3280	16899237	TRRUST	curated
HES1	3280	18499474	TRRUST	curated
HES1	3280	20506217	TRRUST	curated
HES1	3280	19880519	TRRUST	curated
HES1	3280	15467735	TRRUST	curated
HES4	57801	25480889	PubMedQuery	curated
HES5	388585	17006542	PubMedQuery	curated
HES5	388585	22735158	PubMedQuery	curated
HES5	388585	26932672	PubMedQuery	curated
HEY1	23462	25005473	PubMedQuery	curated
HIF1A	3091	19592460	InnateDB	curated
HIF1A	3091	20007689	InnateDB	curated
HIF1A	3091	25725157	InnateDB	curated
HIF1A	3091	28196140	PubMedQuery	curated
HIF1A	3091	26837221	PubMedQuery	curated
HIF1A	3091	26458913	PubMedQuery	curated
HIF1A	3091	25725157	PubMedQuery	curated
HIF1A	3091	24778419	PubMedQuery	curated
HIF1A	3091	23566437	PubMedQuery	curated
HIF1A	3091	23454212	PubMedQuery	curated
HIF1A	3091	23395615	PubMedQuery	curated
HIF1A	3091	22505354	PubMedQuery	curated
HIF1A	3091	22288903	PubMedQuery	curated
HIF1A	3091	22050843	PubMedQuery	curated
HIF1A	3091	20080132	PubMedQuery	curated
HIF1A	3091	20007689	PubMedQuery	curated
HIF1A	3091	19762474	PubMedQuery	curated
HIF1A	3091	19592460	PubMedQuery	curated
HIF1A	3091	18930903	PubMedQuery	curated
HIF1A	3091	17533374	PubMedQuery	curated
HIF1A	3091	17374610	PubMedQuery	curated
HIF1A	3091	15270719	PubMedQuery	curated
HIF1A	3091	9632793	PubMedQuery	curated
HIF1A	3091	28602625	PubMedQuery	curated
HIF1A	3091	15563275	TFe	curated
HIF1A	3091	15823097	TFe	curated
HIF1A	3091	12879018	TFe	curated
HIF1A	3091	20300197	TFe	curated
HIF1A	3091	11156414	TFe	curated
HIF1A	3091	21212189	TRRUST	curated
HIF1A	3091	15315937	TRRUST	curated
HIF1A	3091	17303576	TRRUST	curated
HIF1A	3091	15082785	TRRUST	curated
HIF1A	3091	19592460	TRRUST	curated
HMGXB4	10042	20511232	PubMedQuery	curated
HNF1A	6927	19782160	InnateDB	curated
HNF1A	6927	19782160	PubMedQuery	curated
HOXB1	3211	9218805	PubMedQuery	curated
HOXD13	3239	18407260	PubMedQuery	curated
HSF1	3297	24041570	InnateDB	curated
HSF2	3298	30670685	PubMedQuery	curated
ID2	3398	19109490	PubMedQuery	curated
INSM1	3642	11842116	PubMedQuery	curated
INSM1	3642	11842116	TFe	curated
IRF2BPL	64207	21672609	PubMedQuery	curated
IRF3	3661	28464285	PubMedQuery	curated
IRF4	3662	26278622	PubMedQuery	curated
ISL1	3670	22303449	ENdb	curated
ISL1	3670	22303449	PubMedQuery	curated
ISL1	3670	15253934	TFe	curated
ISL1	3670	22303449	TRRUST	curated
JAZF1	221895	26101156	TRRUST	curated
JUN	3725	15494506	CytReg	curated
JUN	3725	19783677	PubMedQuery	curated
JUN	3725	19861239	PubMedQuery	curated
JUN	3725	16250013	TRRUST	curated
JUND	3727	21835891	PubMedQuery	curated
KAT5	10524	18390577	PubMedQuery	curated
KAT5	10524	18390577	TRRUST	curated
KLF4	9314	21746878	InnateDB	curated
KLF4	9314	21746878	PubMedQuery	curated
KLF4	9314	19522013	PubMedQuery	curated
KLF4	9314	19522013	TFactS	curated
KLF4	9314	21746878	TRRUST	curated
KLF4	9314	16954384	TRRUST	curated
KLF4	9314	19522013	TRRUST	curated
