ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
OBI_0002100	OBI_0002059	http://purl.obolibrary.org/obo/OBI_0002100	http://purl.obolibrary.org/obo/OBI_0002059	is_a	OBI
OBI_0002101	OBI_0001721	http://purl.obolibrary.org/obo/OBI_0002101	http://purl.obolibrary.org/obo/OBI_0001721	is_a	OBI
CHEBI_59050	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59050	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
OBI_0002104	OBI_0001703	http://purl.obolibrary.org/obo/OBI_0002104	http://purl.obolibrary.org/obo/OBI_0001703	is_a	OBI
OBI_0002105	OBI_0001708	http://purl.obolibrary.org/obo/OBI_0002105	http://purl.obolibrary.org/obo/OBI_0001708	is_a	OBI
OBI_0002102	OBI_0001718	http://purl.obolibrary.org/obo/OBI_0002102	http://purl.obolibrary.org/obo/OBI_0001718	is_a	OBI
OBI_0002103	OBI_0001723	http://purl.obolibrary.org/obo/OBI_0002103	http://purl.obolibrary.org/obo/OBI_0001723	is_a	OBI
OBI_0002108	OBI_0600045	http://purl.obolibrary.org/obo/OBI_0002108	http://purl.obolibrary.org/obo/OBI_0600045	is_a	OBI
OBI_0002109	OBI_0001307	http://purl.obolibrary.org/obo/OBI_0002109	http://purl.obolibrary.org/obo/OBI_0001307	is_a	OBI
OBI_0002106	OBI_0600017	http://purl.obolibrary.org/obo/OBI_0002106	http://purl.obolibrary.org/obo/OBI_0600017	is_a	OBI
OBI_0002107	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0002107	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0002111	OBI_0002043	http://purl.obolibrary.org/obo/OBI_0002111	http://purl.obolibrary.org/obo/OBI_0002043	is_a	OBI
OBI_0002112	OBI_0001271	http://purl.obolibrary.org/obo/OBI_0002112	http://purl.obolibrary.org/obo/OBI_0001271	is_a	OBI
OBI_0002110	IAO_0000577	http://purl.obolibrary.org/obo/OBI_0002110	http://purl.obolibrary.org/obo/IAO_0000577	is_a	OBI
OBI_0002110	IAO_0000578	http://purl.obolibrary.org/obo/OBI_0002110	http://purl.obolibrary.org/obo/IAO_0000578	part_of	OBI
OBI_0002115	NA	http://purl.obolibrary.org/obo/OBI_0002115	NA	is_a	OBI
OBI_0002115	OBI_0001977	http://purl.obolibrary.org/obo/OBI_0002115	http://purl.obolibrary.org/obo/OBI_0001977	is_a	OBI
OBI_0002116	OBI_0001630	http://purl.obolibrary.org/obo/OBI_0002116	http://purl.obolibrary.org/obo/OBI_0001630	is_a	OBI
OBI_0002113	OBI_0001271	http://purl.obolibrary.org/obo/OBI_0002113	http://purl.obolibrary.org/obo/OBI_0001271	is_a	OBI
OBI_0002114	OBI_0001271	http://purl.obolibrary.org/obo/OBI_0002114	http://purl.obolibrary.org/obo/OBI_0001271	is_a	OBI
NCBITaxon_40674	NCBITaxon_32524	http://purl.obolibrary.org/obo/NCBITaxon_40674	http://purl.obolibrary.org/obo/NCBITaxon_32524	is_a	OBI
OBI_0002119	OBI_0000185	http://purl.obolibrary.org/obo/OBI_0002119	http://purl.obolibrary.org/obo/OBI_0000185	is_a	OBI
OBI_0002117	OBI_0000626	http://purl.obolibrary.org/obo/OBI_0002117	http://purl.obolibrary.org/obo/OBI_0000626	is_a	OBI
OBI_0002118	OBI_0000626	http://purl.obolibrary.org/obo/OBI_0002118	http://purl.obolibrary.org/obo/OBI_0000626	is_a	OBI
OBI_0001670	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001670	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
OBI_0000341	OBI_0000659	http://purl.obolibrary.org/obo/OBI_0000341	http://purl.obolibrary.org/obo/OBI_0000659	is_a	OBI
OBI_0000341	OBI_0000094	http://purl.obolibrary.org/obo/OBI_0000341	http://purl.obolibrary.org/obo/OBI_0000094	is_a	OBI
OBI_0001672	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001672	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
OBI_0001671	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001671	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
GO_0097390	GO_0032602	http://purl.obolibrary.org/obo/GO_0097390	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
OBI_0000343	OBI_0000338	http://purl.obolibrary.org/obo/OBI_0000343	http://purl.obolibrary.org/obo/OBI_0000338	is_a	OBI
OBI_0001674	NA	http://purl.obolibrary.org/obo/OBI_0001674	NA	is_a	OBI
OBI_0001674	OBI_0600047	http://purl.obolibrary.org/obo/OBI_0001674	http://purl.obolibrary.org/obo/OBI_0600047	is_a	OBI
