Experiment_ID	Experiment_Type	Effect	Induced
exp_0188	perturbation	overexpression	not_applicable
exp_0192	perturbation	overexpression	not_applicable
exp_0196	perturbation	overexpression	not_applicable
exp_0200	perturbation	knockdown	not_applicable
exp_0204	perturbation	knockdown	not_applicable
exp_0208	perturbation	knockdown	TRUE
exp_0215	perturbation	knockdown	not_applicable
exp_0218	perturbation	overexpression	not_applicable
exp_0219	perturbation	overexpression	TRUE
exp_0224	perturbation	overexpression	not_applicable
exp_0225	perturbation	overexpression	TRUE
exp_0228	perturbation	knockout	FALSE
exp_0229	perturbation	knockout	FALSE
exp_0230	perturbation	knockout	FALSE
exp_0239	perturbation	knockdown	not_applicable
exp_0243	perturbation	knockdown	not_applicable
exp_0252	perturbation	knockdown	not_applicable
exp_0260	perturbation	knockdown	not_applicable
exp_0264	perturbation	knockdown	not_applicable
exp_0265	perturbation	overexpression	not_applicable
exp_0272	perturbation	knockdown	not_applicable
exp_0276	perturbation	knockdown	not_applicable
exp_0280	perturbation	knockdown	not_applicable
exp_0281	perturbation	knockdown	not_applicable
exp_0285	perturbation	overexpression	not_applicable
exp_0289	perturbation	knockdown	not_applicable
exp_0292	perturbation	knockdown	not_applicable
exp_0295	perturbation	knockdown	not_applicable
exp_0296	perturbation	overexpression	not_applicable
exp_0303	perturbation	overexpression	not_applicable
exp_0306	perturbation	knockdown	not_applicable
exp_0307	perturbation	knockdown	not_applicable
exp_0311	perturbation	knockdown	not_applicable
exp_0313	perturbation	knockdown	not_applicable
exp_0315	perturbation	knockdown	not_applicable
exp_0320	perturbation	knockdown	not_applicable
exp_0321	perturbation	knockdown	not_applicable
exp_0322	perturbation	knockdown	not_applicable
exp_0326	perturbation	overexpression	not_applicable
exp_0331	perturbation	knockdown	not_applicable
exp_0332	perturbation	knockdown	not_applicable
exp_0333	perturbation	overexpression	not_applicable
exp_0334	perturbation	knockdown	not_applicable
exp_0335	perturbation	knockdown	not_applicable
exp_0336	perturbation	overexpression	not_applicable
exp_0340	perturbation	knockdown	not_applicable
exp_0341	perturbation	knockdown	not_applicable
exp_0350	perturbation	overexpression	not_applicable
exp_0352	perturbation	hom_knockout	FALSE
exp_0354	perturbation	hom_knockout	FALSE
exp_0363	perturbation	knockdown	not_applicable
exp_0368	perturbation	overexpression	not_applicable
exp_0375	perturbation	overexpression	not_applicable
exp_0376	perturbation	overexpression	not_applicable
exp_0385	perturbation	knockdown	not_applicable
exp_0386	perturbation	knockdown	not_applicable
exp_0390	perturbation	knockdown	not_applicable
exp_0394	perturbation	overexpression	not_applicable
exp_0413	perturbation	overexpression	not_applicable
exp_0419	perturbation	knockdown	not_applicable
exp_0420	perturbation	knockdown	not_applicable
exp_0422	perturbation	knockdown	TRUE
exp_0424	perturbation	knockdown	TRUE
exp_0426	perturbation	knockdown	TRUE
exp_0430	perturbation	knockdown	TRUE
exp_0433	perturbation	overexpression	not_applicable
exp_0434	perturbation	overexpression	TRUE
exp_0443	perturbation	overexpression	not_applicable
exp_0444	perturbation	knockdown	not_applicable
exp_0445	perturbation	knockdown	not_applicable
exp_0446	perturbation	knockdown	not_applicable
exp_0447	perturbation	knockdown	not_applicable
exp_0448	perturbation	knockdown	not_applicable
exp_0449	perturbation	knockdown	not_applicable
exp_0454	perturbation	knockdown	not_applicable
exp_0455	perturbation	knockdown	not_applicable
exp_0459	perturbation	knockdown	not_applicable
exp_0462	perturbation	knockdown	not_applicable
exp_0463	perturbation	knockdown	not_applicable
exp_0466	perturbation	knockdown	not_applicable
exp_0467	perturbation	knockdown	not_applicable
exp_0470	perturbation	knockdown	not_applicable
exp_0471	perturbation	knockdown	not_applicable
exp_0474	perturbation	knockdown	not_applicable
exp_0475	perturbation	overexpression	not_applicable
exp_0478	perturbation	overexpression	not_applicable
exp_0487	perturbation	overexpression	not_applicable
exp_0491	perturbation	knockdown	not_applicable
exp_0493	perturbation	knockdown	TRUE
exp_0495	perturbation	knockdown	TRUE
exp_0514	perturbation	knockdown	not_applicable
exp_0515	perturbation	knockdown	not_applicable
exp_0517	perturbation	overexpression	not_applicable
exp_0520	perturbation	overexpression	not_applicable
exp_0523	perturbation	overexpression	not_applicable
exp_0525	perturbation	overexpression	not_applicable
exp_0527	perturbation	overexpression	not_applicable
exp_0532	perturbation	knockdown	not_applicable
exp_0534	perturbation	knockdown	not_applicable
exp_0537	perturbation	knockdown	TRUE
exp_0538	perturbation	knockdown	not_applicable
exp_0541	perturbation	knockdown	not_applicable
exp_0548	perturbation	knockdown	not_applicable
exp_0551	perturbation	knockdown	not_applicable
