Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_2215	reporter	FALSE	not_applicable
exp_2227	reporter	TRUE	putative
exp_2231	reporter	TRUE	putative
exp_2232	reporter	FALSE	not_applicable
exp_2233	reporter	FALSE	not_applicable
exp_2234	reporter	TRUE	putative
exp_2236	reporter	FALSE	not_applicable
exp_2241	reporter	FALSE	not_applicable
exp_2242	reporter	FALSE	not_applicable
exp_2247	reporter	TRUE	putative
exp_2249	reporter	TRUE	putative
exp_2255	reporter	TRUE	putative
exp_2260	reporter	TRUE	putative
exp_2263	reporter	TRUE	putative
exp_2270	reporter	TRUE	putative
exp_2279	reporter	FALSE	not_applicable
exp_2281	reporter	FALSE	not_applicable
exp_2301	reporter	FALSE	not_applicable
exp_2302	reporter	FALSE	not_applicable
exp_2305	reporter	FALSE	not_applicable
exp_2306	reporter	FALSE	not_applicable
exp_2309	reporter	TRUE	putative
exp_2311	reporter	TRUE	putative
exp_2338	reporter	FALSE	not_applicable
exp_2340	reporter	FALSE	not_applicable
exp_2343	reporter	FALSE	not_applicable
exp_2344	reporter	FALSE	not_applicable
exp_2348	reporter	TRUE	putative
exp_2356	reporter	TRUE	putative
exp_2360	reporter	FALSE	not_applicable
exp_2362	reporter	TRUE	emsa
exp_2365	reporter	TRUE	emsa
exp_2367	reporter	FALSE	not_applicable
exp_2368	reporter	FALSE	not_applicable
exp_2370	reporter	FALSE	not_applicable
exp_2374	reporter	TRUE	emsa
exp_2380	reporter	FALSE	not_applicable
exp_2384	reporter	TRUE	putative
exp_2386	reporter	TRUE	putative
exp_2387	reporter	FALSE	not_applicable
exp_2388	reporter	FALSE	not_applicable
exp_2389	reporter	TRUE	putative
exp_2393	reporter	TRUE	putative
exp_2397	reporter	FALSE	not_applicable
exp_2399	reporter	FALSE	not_applicable
exp_2404	reporter	FALSE	not_applicable
exp_2406	reporter	FALSE	not_applicable
exp_2411	reporter	TRUE	putative
exp_2412	reporter	TRUE	emsa
exp_2413	reporter	FALSE	not_applicable
exp_2416	reporter	FALSE	not_applicable
exp_2418	reporter	FALSE	not_applicable
exp_2421	reporter	FALSE	not_applicable
exp_2423	reporter	TRUE	putative
exp_2424	reporter	FALSE	not_applicable
exp_2428	reporter	TRUE	emsa
exp_2430	reporter	FALSE	not_applicable
exp_2432	reporter	FALSE	not_applicable
exp_2434	reporter	FALSE	not_applicable
exp_2436	reporter	FALSE	not_applicable
exp_2440	reporter	TRUE	emsa
exp_2442	reporter	FALSE	not_applicable
exp_2443	reporter	FALSE	not_applicable
exp_2444	reporter	FALSE	not_applicable
exp_2445	reporter	TRUE	putative
exp_2448	reporter	FALSE	not_applicable
exp_2452	reporter	FALSE	not_applicable
exp_2456	reporter	TRUE	emsa
exp_2459	reporter	FALSE	not_applicable
exp_2460	reporter	FALSE	not_applicable
exp_2461	reporter	FALSE	not_applicable
exp_2462	reporter	FALSE	not_applicable
exp_2465	reporter	TRUE	putative
exp_2466	reporter	TRUE	putative
exp_2473	reporter	FALSE	not_applicable
exp_2476	reporter	FALSE	not_applicable
exp_2479	reporter	TRUE	emsa
exp_2483	reporter	TRUE	putative
exp_2490	reporter	FALSE	not_applicable
exp_2491	reporter	FALSE	not_applicable
exp_2492	reporter	FALSE	not_applicable
exp_2494	reporter	TRUE	emsa
exp_2505	reporter	FALSE	not_applicable
exp_2506	reporter	FALSE	not_applicable
exp_2514	reporter	FALSE	not_applicable
exp_2516	reporter	FALSE	not_applicable
exp_2518	reporter	FALSE	not_applicable
exp_2525	reporter	FALSE	not_applicable
exp_2536	reporter	TRUE	emsa
exp_2539	reporter	FALSE	not_applicable
exp_2540	reporter	TRUE	putative
exp_2549	reporter	TRUE	emsa
exp_2550	reporter	FALSE	not_applicable
exp_2554	reporter	FALSE	not_applicable
exp_2559	reporter	FALSE	not_applicable
exp_2562	reporter	TRUE	putative
exp_2564	reporter	TRUE	putative
exp_2567	reporter	TRUE	putative
exp_2568	reporter	TRUE	putative
exp_2573	reporter	FALSE	not_applicable
exp_2575	reporter	FALSE	not_applicable
exp_2577	reporter	TRUE	putative
exp_2579	reporter	FALSE	not_applicable
exp_2581	reporter	TRUE	emsa
exp_2582	reporter	TRUE	emsa
exp_2585	reporter	FALSE	not_applicable
exp_2589	reporter	FALSE	not_applicable
exp_2597	reporter	TRUE	putative
exp_2602	reporter	FALSE	not_applicable
exp_2603	reporter	FALSE	not_applicable
exp_2606	reporter	FALSE	not_applicable
exp_2607	reporter	FALSE	not_applicable
exp_2608	reporter	FALSE	not_applicable
exp_2609	reporter	FALSE	not_applicable
exp_2614	reporter	TRUE	emsa
exp_2622	reporter	FALSE	not_applicable
exp_2631	reporter	FALSE	not_applicable
exp_2633	reporter	FALSE	not_applicable
exp_2635	reporter	FALSE	not_applicable
exp_2642	reporter	TRUE	putative
exp_2644	reporter	TRUE	putative
exp_2646	reporter	TRUE	putative
exp_2648	reporter	TRUE	putative
exp_2650	reporter	TRUE	emsa
exp_2651	reporter	FALSE	not_applicable
exp_2653	reporter	TRUE	emsa
exp_2655	reporter	TRUE	emsa
exp_2657	reporter	FALSE	not_applicable
exp_2659	reporter	FALSE	not_applicable
exp_2661	reporter	TRUE	emsa
exp_2670	reporter	FALSE	not_applicable
exp_2672	reporter	FALSE	not_applicable
exp_2674	reporter	FALSE	not_applicable
exp_2676	reporter	FALSE	not_applicable
exp_2684	reporter	TRUE	putative
exp_2688	reporter	TRUE	emsa
exp_2696	reporter	TRUE	putative
exp_2697	reporter	TRUE	putative
exp_2698	reporter	TRUE	putative
exp_2700	reporter	TRUE	emsa
exp_2706	reporter	TRUE	emsa
exp_2713	reporter	FALSE	not_applicable
exp_2716	reporter	TRUE	emsa
exp_2723	reporter	FALSE	not_applicable
exp_2727	reporter	FALSE	not_applicable
exp_2728	reporter	FALSE	not_applicable
exp_2729	reporter	TRUE	emsa
exp_2730	reporter	TRUE	emsa
exp_2731	reporter	TRUE	emsa
exp_2740	reporter	TRUE	putative
exp_2741	reporter	FALSE	not_applicable
exp_2744	reporter	FALSE	not_applicable
exp_2745	reporter	FALSE	not_applicable
exp_2757	reporter	FALSE	not_applicable
exp_2759	reporter	FALSE	not_applicable
exp_2760	reporter	FALSE	not_applicable
exp_2764	reporter	FALSE	not_applicable
exp_2766	reporter	FALSE	not_applicable
exp_2771	reporter	FALSE	not_applicable
exp_2783	reporter	FALSE	not_applicable
exp_2794	reporter	TRUE	putative
exp_2795	reporter	TRUE	putative
exp_2798	reporter	FALSE	not_applicable
exp_2799	reporter	FALSE	not_applicable
exp_2805	reporter	TRUE	putative
exp_2808	reporter	FALSE	not_applicable
exp_2828	reporter	TRUE	putative
exp_2832	reporter	FALSE	not_applicable
exp_2840	reporter	FALSE	not_applicable
exp_2841	reporter	FALSE	not_applicable
exp_2842	reporter	FALSE	not_applicable
exp_2843	reporter	FALSE	not_applicable
exp_2844	reporter	FALSE	not_applicable
exp_2846	reporter	FALSE	not_applicable
exp_2849	reporter	FALSE	not_applicable
exp_2850	reporter	FALSE	not_applicable
exp_2851	reporter	FALSE	not_applicable
exp_2853	reporter	FALSE	not_applicable
exp_2854	reporter	FALSE	not_applicable
exp_2863	reporter	FALSE	not_applicable
exp_2866	reporter	FALSE	not_applicable
exp_2871	reporter	TRUE	putative
exp_2875	reporter	TRUE	putative
exp_2891	reporter	TRUE	emsa
exp_2894	reporter	TRUE	emsa
exp_2900	reporter	FALSE	not_applicable
exp_2902	reporter	FALSE	not_applicable
exp_2906	reporter	FALSE	not_applicable
exp_2910	reporter	FALSE	not_applicable
exp_2919	reporter	FALSE	not_applicable
exp_2923	reporter	TRUE	putative
exp_2929	reporter	FALSE	not_applicable
exp_2933	reporter	FALSE	not_applicable
exp_2937	reporter	TRUE	putative
exp_2941	reporter	TRUE	putative
exp_2944	reporter	TRUE	putative
exp_2966	reporter	FALSE	not_applicable
exp_2967	reporter	FALSE	not_applicable
exp_2968	reporter	FALSE	not_applicable
exp_2969	reporter	FALSE	not_applicable
exp_2979	reporter	TRUE	putative
exp_2995	reporter	TRUE	putative
exp_2996	reporter	FALSE	not_applicable
exp_3001	reporter	FALSE	not_applicable
exp_3004	reporter	FALSE	not_applicable
exp_3013	reporter	TRUE	putative
exp_3014	reporter	TRUE	putative
exp_3017	reporter	TRUE	putative
exp_3018	reporter	TRUE	putative
exp_3021	reporter	TRUE	putative
exp_3023	reporter	FALSE	not_applicable
exp_3026	reporter	FALSE	not_applicable
exp_3030	reporter	FALSE	not_applicable
exp_3034	reporter	FALSE	not_applicable
exp_3037	reporter	FALSE	not_applicable
exp_3040	reporter	FALSE	not_applicable
exp_3084	reporter	TRUE	putative
exp_3093	reporter	FALSE	not_applicable
exp_3095	reporter	TRUE	putative
exp_3103	reporter	FALSE	not_applicable
exp_3104	reporter	FALSE	not_applicable
exp_3105	reporter	FALSE	not_applicable
exp_3106	reporter	FALSE	not_applicable
exp_3107	reporter	FALSE	not_applicable
exp_3108	reporter	FALSE	not_applicable
exp_3110	reporter	TRUE	putative
exp_3147	reporter	TRUE	emsa
exp_3149	reporter	TRUE	emsa
exp_3159	reporter	FALSE	not_applicable
exp_3162	reporter	FALSE	not_applicable
exp_3167	reporter	TRUE	putative
exp_3170	reporter	TRUE	putative
exp_3179	reporter	FALSE	not_applicable
exp_3185	reporter	TRUE	putative
exp_3187	reporter	TRUE	putative
exp_3196	reporter	FALSE	not_applicable
exp_3207	reporter	TRUE	putative
exp_3215	reporter	FALSE	not_applicable
exp_3216	reporter	FALSE	not_applicable
exp_3218	reporter	FALSE	not_applicable
exp_3230	reporter	FALSE	not_applicable
exp_3232	reporter	TRUE	emsa
exp_3239	reporter	FALSE	not_applicable
exp_3240	reporter	FALSE	not_applicable
exp_3246	reporter	FALSE	not_applicable
exp_3248	reporter	FALSE	not_applicable
exp_3255	reporter	FALSE	not_applicable
exp_3257	reporter	FALSE	not_applicable
exp_3260	reporter	FALSE	not_applicable
exp_3263	reporter	FALSE	not_applicable
exp_3279	reporter	FALSE	not_applicable
exp_3280	reporter	FALSE	not_applicable
exp_3284	reporter	TRUE	putative
exp_3287	reporter	FALSE	not_applicable
exp_3292	reporter	FALSE	not_applicable
exp_3296	reporter	FALSE	not_applicable
exp_3297	reporter	FALSE	not_applicable
exp_3301	reporter	FALSE	not_applicable
exp_3304	reporter	FALSE	not_applicable
exp_3309	reporter	FALSE	not_applicable
exp_3312	reporter	FALSE	not_applicable
exp_3316	reporter	FALSE	not_applicable
exp_3319	reporter	FALSE	not_applicable
exp_3345	reporter	FALSE	not_applicable
exp_3366	reporter	FALSE	not_applicable
exp_3368	reporter	TRUE	putative
exp_3370	reporter	FALSE	not_applicable
exp_3371	reporter	FALSE	not_applicable
exp_3372	reporter	FALSE	not_applicable
exp_3375	reporter	TRUE	putative
exp_3388	reporter	TRUE	putative
